Title	Year	Plot	Runtime	Genre	Imdb rating
"The godfather, part 2	(1974)	The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.	202 min	Crime, Drama            	9"
"The dark Knight	(2008)	When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.	152 min	Action, Crime, Drama            	9"
"Blade Runner	(1982)	A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.	117 min	Action, Drama, Sci-Fi            	8.1"
"Star Wars	(1977)	Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.	121 min	Action, Adventure, Fantasy            	8.6"
Everything for Eva	(1950)	A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.	138 min	Drama            	8.2
"The Hunters of the Lost Ark	(1981)	In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.	115 min	Action, Adventure            	8.4"
"Back to the Future	(1985)	Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.	116 min	Adventure, Comedy, Sci-Fi            	8.5"
"Lawrence of Arabia	(1962)	The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.	218 min	Adventure, Biography, Drama            	8.3"
"Shark's jaws	(1975)	When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.	124 min	Adventure, Thriller            	8.1"
"12 years slave	(2013)	In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.	134 min	Biography, Drama, History            	8.1"
"The studio	(1960)	A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.	125 min	Comedy, Drama, Romance            	8.3"
"Chinatown	(1974)	A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.	130 min	Drama, Mystery, Thriller            	8.2"
"Some prefer it hot	(1959)	After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.	121 min	Comedy, Music, Romance            	8.2"
"The workshop of Dr. Caligari	(1920)	Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.	76 min	Horror, Mystery, Thriller            	8"
"The dictator	(1940)	Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.	125 min	Comedy, Drama, War            	8.4"
"The Lord of the Rings: The Companion of the Ring	(2001)	A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.	178 min	Action, Adventure, Drama            	8.8"
"Alien, the space passenger	(1979)	The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.	117 min	Horror, Sci-Fi            	8.5"
"The prisoner of the desert	(1956)	An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.	119 min	Adventure, Drama, Western            	7.9"
"Andrei Rublyov	(1966)	The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.	205 min	Biography, Drama, History            	8"
"Spotlight: All in the light	(I) (2015)	The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.	129 min	Biography, Crime, Drama            	8.1"
Once upon a time in the West	(1968)	A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.	165 min	Western            	8.5
"Moonlight	(I) (2016)	A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.	111 min	Drama            	7.4"
"Metropolis	(1927)	In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.	153 min	Drama, Sci-Fi            	8.3"
"The Lord of the Rings: The return of the king	(2003)	Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.	201 min	Action, Adventure, Drama            	9"
"Modern times	(1936)	The Tramp struggles to live in modern industrial society with the help of a young homeless woman.	87 min	Comedy, Drama, Romance            	8.5"
"Alliance: The return	(1986)	Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.	137 min	Action, Adventure, Sci-Fi            	8.4"
"It happened one night	(1934)	A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.	105 min	Comedy, Romance            	8.1"
"Lora	(1944)	A police detective falls in love with the woman whose murder he is investigating.	88 min	Drama, Film-Noir, Mystery            	7.9"
"Exterminator 2: Judgment Day (1991)	(1991)	A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.	137 min	Action, Sci-Fi            	8.6"
"The Clockwork Orange	(1971)	In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.	136 min	Crime, Sci-Fi            	8.3"
"Ε.Τ. the alien	(1982)	A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.	115 min	Adventure, Family, Sci-Fi            	7.9"
"Nosferatou, a horror deal	(1922)	Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.	94 min	Fantasy, Horror            	7.9"
"Snow white and the Seven dwarfs	(1937)	Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.	83 min	Animation, Adventure, Family            	7.6"
"The battle of Algeria	(1966)	In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.	121 min	Drama, War            	8.1"
"The Great Chimera	(1937)	During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.	113 min	Drama, War            	8.1"
"In the shadow of the four giants	(1959)	A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.	136 min	Action, Adventure, Mystery            	8.3"
"The Two Robbers	(1969)	Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.	110 min	Biography, Crime, Drama            	8"
"Apostrophe	(1965)	A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.	105 min	Drama, Horror, Thriller            	7.6"
"The Maltese hawk	(1941)	San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.	100 min	Crime, Film-Noir, Mystery            	8"
"Gravity	(2013)	Two astronauts work together to survive after an accident leaves them stranded in space.	91 min	Action, Drama, Sci-Fi            	7.7"
"West Avenue	(1950)	A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.	110 min	Drama, Film-Noir            	8.4"
"King Kong	(1933)	A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.	100 min	Adventure, Horror, Sci-Fi            	7.9"
"Toy Story	(1995)	A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.	81 min	Animation, Adventure, Comedy            	8.3"
"Silent witness	(1954)	A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.	112 min	Mystery, Thriller            	8.5"
"The geisha and the samurai	(1950)	The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.	88 min	Crime, Drama, Mystery            	8.2"
"The Adventures of Robin Hood	(1938)	When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.	102 min	Action, Adventure, Romance            	7.9"
"Spree with the Beatles	(1964)	""Over two """"typical"""" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live TV performance.""	87 min	Comedy, Musical            	7.6"
"The Bride of Frankenstein	(1935)	Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.	75 min	Drama, Horror, Sci-Fi            	7.8"
"The Dusseldorf Dragon	(1931)	When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.	117 min	Crime, Mystery, Thriller            	8.3"
"Social Scandals	(1940)	When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.	112 min	Comedy, Romance            	7.9"
"The treasure of Sierra Madre	(1948)	Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.	126 min	Adventure, Drama, Western            	8.2"
"Nothing newer than the west front	(1930)	A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.	152 min	Drama, War            	8.1"
"Bicycle thief	(1948)	In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.	89 min	Drama            	8.3"
"The novice	(1967)	A disillusioned college graduate finds himself torn between his older lover and her daughter.	106 min	Comedy, Drama, Romance            	8"
"The Army of Shadows	(1969)	An account of underground resistance fighters in Nazi-occupied France.	145 min	Drama, War            	8.1"
Bus the Desire	(1951)	Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.	122 min	Drama            	7.9
"The death row inmate with the sign	(1955)	A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.	92 min	Crime, Drama, Film-Noir            	8"
"In the Cuckoo nest	(1975)	A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.	133 min	Drama            	8.7"
"Rebecca	(1940)	A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.	130 min	Drama, Film-Noir, Mystery            	8.1"
"Selma	(2014)	A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.	128 min	Biography, Drama, History            	7.5"
"Rosemary's baby	(1968)	A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.	137 min	Drama, Horror            	8"
"Frankenstein	(1931)	Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.	70 min	Drama, Horror, Sci-Fi            	7.8"
"The general	(1926)	After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.	67 min	Action, Adventure, Comedy            	8.2"
"The Conformist	(1970)	A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.	113 min	Drama            	7.9"
"The prince of terror	(1958)	A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.	95 min	Crime, Drama, Film-Noir            	8"
"Nervous lover	(1977)	Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.	93 min	Comedy, Romance            	8"
"A wonderful life	(1946)	An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.	130 min	Drama, Family, Fantasy            	8.6"
"When the Earth stops	(1951)	An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.	92 min	Drama, Sci-Fi            	7.8"
"The Hurt Locker	(2008)	During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.	131 min	Drama, Thriller, War            	7.5"
"Los Angeles: Confidential	(1997)	As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.	138 min	Crime, Drama, Mystery            	8.2"
"Mad Max: The Road to Rage	(2015)	In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.	120 min	Action, Adventure, Sci-Fi            	8.1"
"Pinocchio	(1940)	A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.	88 min	Animation, Adventure, Comedy            	7.5"
"The 39 stairs	(1935)	A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.	86 min	Crime, Mystery, Thriller            	7.6"
"Rome, Fortified City	(1945)	During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.	103 min	Drama, Thriller, War            	8"
"Visit to Tokyo	(1953)	An old couple visit their children and grandchildren in the city, but receive little attention.	136 min	Drama            	8.2"
"The last show	(1971)	In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.	118 min	Drama, Romance            	8"
"The grapes of Wrath	(1940)	An Oklahoma family driven off their farm by the poverty and hopelessness of the Dust Bowl joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.	129 min	Drama            	8.1"
"Shadows and silence	(1962)	Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.	129 min	Crime, Drama            	8.3"
"America, the country of freedom	(1939)	A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.	129 min	Comedy, Drama            	8.1"
"The Day Career of Terror	(1953)	In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.	131 min	Adventure, Drama, Thriller            	8.2"
"Patton, the legend of Normandy	(1970)	The World War II phase of the career of controversial American general George S. Patton.	172 min	Biography, Drama, War            	7.9"
"Holidays in Rome	(1953)	A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.	118 min	Comedy, Romance            	8"
"The Train Will Whistle Three Times	(1952)	A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.	85 min	Drama, Thriller, Western            	8"
"Hell love	(1944)	A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.	107 min	Crime, Drama, Film-Noir            	8.3"
"Forrest Gump	(1994)	The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.	142 min	Drama, Romance            	8.8"
"Silence of the Lambs	(1991)	A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.	118 min	Crime, Drama, Thriller            	8.6"
"There will be blood	(2007)	A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.	158 min	Drama            	8.2"
"Too hard to die	(1988)	An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.	132 min	Action, Thriller            	8.2"
"Fargo	(1996)	Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.	98 min	Crime, Thriller            	8.1"
American Beauty	(1999)	A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.	122 min	Drama            	8.4
"The Matrix	(1999)	When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.	136 min	Action, Sci-Fi            	8.7"
"The bridge over the river Kwai	(1957)	British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.	161 min	Adventure, Drama, War            	8.2"
"The best years of our lives	(1946)	Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.	170 min	Drama, Romance, War            	8.1"
Roma	(2018)	A year in the life of a middle-class family's maid in Mexico City in the early 1970s.	135 min	Drama            	7.7
"The great sinner	(1949)	A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.	114 min	Action, Crime, Drama            	8.1"
"Melody of Happiness	(1965)	A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.	172 min	Biography, Drama, Family            	8.1"
"Inception	(2010)	A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.	148 min	Action, Adventure, Sci-Fi            	8.8"
"Bonnie and Clyde	(1967)	Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.	111 min	Action, Biography, Crime            	7.7"
"The midnight cowboy	(1969)	A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.	113 min	Drama            	7.8"
"Grabs of the Earth	(1953)	A weary gunfighter in 1880s Wyoming begins to envision a quieter life after befriending a homestead family with a young son who idolizes him, but a smoldering range war forces him to act.	118 min	Drama, Western            	7.6"
"Intolerance: Love's Struggle Throughout the Ages	(1916)	The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.	163 min	Drama, History            	7.7"
"Man on Wire	(2008)	""A look at tightrope walker Philippe Petit's daring, but illegal, high-wire routine performed between New York City's World Trade Center's twin towers in 1974, what some consider, """"the artistic crime of the century"""".""	94 min	Documentary, Biography, Crime            	7.7"
"Battleship Potemkin	(1925)	In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.	75 min	Drama, History, Thriller            	8"
"Anatomy of a crime	(1959)	An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?	161 min	Drama, Mystery            	8"
"The cheetah	(1963)	The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily.	186 min	Drama, History            	8"
"The lady disappears	(1938)	While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.	96 min	Mystery, Thriller            	7.8"
"The great fugitive	(1967)	A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.	127 min	Crime, Drama            	8.1"
"Usual Suspects	(1995)	A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.	106 min	Crime, Drama, Mystery            	8.5"
"The Shining	(1980)	A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.	146 min	Drama, Horror            	8.4"
"The city of God	(2002)	In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.	130 min	Crime, Drama            	8.6"
"Intensity	(1995)	A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.	170 min	Action, Crime, Drama            	8.3"
"The 13th Heir	(1949)	A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.	106 min	Comedy, Crime            	8"
"The great Lebowski	(1998)	""Ultimate L.A. slacker Jeff """"The Dude"""" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.""	117 min	Comedy, Crime            	8.1"
"Sweet life	(1960)	A series of stories following a week in the life of a philandering tabloid journalist living in Rome.	174 min	Comedy, Drama            	8"
"Fantasia	(1940)	A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.	125 min	Animation, Family, Fantasy            	7.7"
"No homeland for the dying	(2007)	Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.	122 min	Crime, Drama, Thriller            	8.2"
"This Is Spinal Tap	(1984)	Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.	82 min	Comedy, Music            	7.9"
"Three colors: The red ribbon	(1994)	A model discovers a retired judge is keen on invading people's privacy.	99 min	Drama, Mystery, Romance            	8.1"
"The special Will Hunting	(1997)	Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.	126 min	Drama, Romance            	8.3"
8½	(1963)	A harried movie director retreats into his memories and fantasies.	138 min	Drama            	8
"Trip to Wonderland	(2001)	During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.	125 min	Animation, Adventure, Family            	8.6"
"La La Land	(2016)	While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.	128 min	Comedy, Drama, Music            	8"
"West Side Story	(1961)	Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.	153 min	Crime, Drama, Musical            	7.6"
"The deer hunter	(1978)	An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.	183 min	Drama, War            	8.1"
"M * A * S * H	(1970)	The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.	116 min	Comedy, Drama, War            	7.4"
"Beauty and the Beast	(1991)	A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.	84 min	Animation, Family, Fantasy            	8"
"The lifes' of the others	(2006)	In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.	137 min	Drama, Mystery, Thriller            	8.4"
"The Artist	(I) (2011)	An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.	100 min	Comedy, Drama, Romance            	7.9"
"Without measure	(2014)	A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.	106 min	Drama, Music            	8.5"
"The King's Speech	(2010)	The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.	118 min	Biography, Drama, History            	8"
"People of horror	(1956)	A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.	80 min	Drama, Horror, Sci-Fi            	7.7"
"Birdman or (The unexpected virtue of innocence)	(2014)	A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.	119 min	Comedy, Drama            	7.7"
A city by the sea	(2016)	A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.	137 min	Drama            	7.8
